"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12","sample-13","sample-14","sample-15","sample-16","sample-17","sample-18","sample-19","sample-20","sample-21","sample-22","sample-23","sample-24","sample-25","sample-26","sample-27","sample-28","sample-29","sample-30","sample-31","sample-32","sample-33","sample-34","sample-35","sample-36","sample-37","sample-38","sample-39","sample-40","sample-41","sample-42","sample-43","sample-44"
"Atopobium",6,6,66,51,1,3,11,8,0,0,16,24,0,0,7,17,24,2,13,11,8,2,0,0,29,19,40,31,0,0,14,19,10,19,0,4,10,24,27,22,24,19,31,27
"Bacillus",7,14,7,12,14,9,10,20,35,23,11,14,16,20,2,0,13,24,24,27,4,17,12,16,9,6,6,7,0,0,4,4,0,3,11,35,8,21,7,9,25,10,6,3
"Bacteroides fragilis et rel.",655,131,180,133,215,113,29,64,339,710,126,226,55,101,107,104,355,501,231,404,146,192,325,313,128,137,411,181,171,360,235,278,89,87,483,124,533,85,132,89,56,56,105,69
"Bacteroides intestinalis et rel.",948,515,280,375,293,123,462,1263,174,185,146,208,216,378,312,251,257,295,249,1189,100,124,679,566,91,102,1239,2853,326,744,203,338,85,57,818,104,1382,370,1233,1029,154,247,242,134
"Bacteroides ovatus et rel.",494,141,126,95,156,47,24,46,208,246,122,149,42,73,92,149,187,239,115,224,96,102,140,121,72,79,123,59,192,363,190,225,56,70,312,74,349,64,102,72,43,52,60,34
"Bacteroides plebeius et rel.",184,91,144,144,147,107,89,104,122,134,121,142,71,108,117,106,252,254,116,183,86,117,225,170,89,117,208,185,546,761,131,171,100,44,1307,188,253,77,147,134,58,63,134,178
"Bacteroides splachnicus et rel.",186,100,69,66,94,69,30,64,58,98,51,74,115,143,93,87,81,88,65,87,49,86,125,103,73,72,180,163,140,188,96,116,147,33,253,65,172,47,84,83,36,41,89,112
"Bacteroides stercoris et rel.",116,33,47,38,140,48,12,33,105,101,55,61,361,613,109,69,106,129,65,197,44,56,383,369,23,25,260,266,97,145,68,192,19,21,368,35,594,165,250,196,37,53,36,23
"Bacteroides uniformis et rel.",2459,571,549,801,301,192,93,135,705,959,301,463,66,122,340,222,862,1449,653,878,490,900,817,576,108,184,1930,819,742,1329,956,981,146,113,688,122,2084,292,612,423,663,657,123,135
"Bacteroides vulgatus et rel.",4682,1423,1895,1562,1850,737,563,3105,260,250,890,822,177,192,3428,5134,4856,3343,1872,4615,868,1173,4672,3927,453,647,5883,3090,1720,3626,3282,4660,243,250,2292,472,9734,646,1752,1337,120,131,576,1366
"Bifidobacterium",274,377,2229,1136,296,597,235,584,1472,1240,134,296,49,34,2445,2828,1620,713,1237,1110,708,1508,62,49,1058,746,2298,1826,567,796,412,723,518,416,843,2040,483,357,1168,1273,1040,1005,667,242
"Bilophila et rel.",4,19,20,15,0,0,4,16,6,6,0,13,3,3,0,0,6,15,45,19,0,5,4,13,7,1,0,0,1,8,0,3,0,0,3,10,2,7,14,9,4,1,5,19
"Brachyspira",0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Bryantella formatexigens et rel.",347,570,355,391,299,408,439,393,271,353,552,397,790,474,273,231,287,316,445,336,287,218,441,546,320,497,74,94,220,242,398,411,308,460,409,529,248,243,261,250,373,497,266,354
"Bulleidia moorei et rel.",8,17,4,8,0,0,2,3,15,15,1,3,9,11,57,62,24,12,9,8,2,4,3,3,36,35,42,59,1,0,1,0,21,27,0,9,7,18,9,9,11,1,17,4
"Burkholderia",62,58,43,39,21,25,79,58,34,88,20,16,35,43,14,6,33,47,72,71,9,52,51,51,28,29,6,25,14,21,4,8,4,9,39,36,42,20,0,0,28,8,10,0
"Butyrivibrio crossotus et rel.",235,191,151,212,183,128,207,178,113,133,177,116,185,206,211,164,100,130,135,92,227,116,309,294,169,147,166,120,300,278,240,238,223,215,136,153,136,142,166,157,146,137,195,165
"Campylobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catenibacterium mitsuokai et rel.",19,10,11,10,17,20,4,5,22,11,10,2,1,0,220,129,15,21,21,19,1,0,18,6,13,19,12,0,55,61,5,12,141,858,16,50,10,35,15,7,18,13,9,0
"Clostridium (sensu stricto)",0,2,42,9,0,2,5,1,4,6,14,7,7,1,35,27,15,11,12,19,13,15,10,3,0,1,20,50,46,9,3,0,0,0,2,19,0,0,1,5,3,0,4,0
"Clostridium cellulosi et rel.",140,148,182,177,99,113,274,250,185,85,192,209,91,132,186,317,85,53,79,153,371,443,91,67,157,182,479,437,80,87,157,109,506,344,33,68,116,268,352,321,131,95,227,234
"Clostridium colinum et rel.",133,167,20,21,64,81,82,54,29,27,111,74,176,100,40,44,106,94,64,99,87,90,34,52,95,102,42,63,33,26,85,84,80,54,76,58,150,214,51,85,41,49,142,154
"Clostridium difficile et rel.",25,53,27,31,46,37,62,77,82,18,22,26,41,14,100,140,25,30,64,45,41,53,35,28,34,15,72,213,71,106,17,26,30,105,75,71,39,43,40,10,41,51,14,18
"Clostridium felsineum et rel.",0,2,30,8,0,0,3,3,7,4,0,0,9,0,2,6,10,5,7,24,3,3,5,9,0,5,2,41,13,5,0,0,0,0,0,10,0,0,0,6,2,3,0,0
"Clostridium leptum et rel.",231,248,318,256,160,190,559,541,159,80,510,608,152,220,141,293,302,145,117,206,563,756,219,126,160,165,926,856,126,87,436,196,352,171,59,138,86,279,749,713,397,329,423,392
"Clostridium nexile et rel.",501,548,745,958,697,847,768,796,1095,1145,795,580,540,555,496,740,901,1007,471,452,461,443,498,739,581,503,476,470,333,343,1008,1002,789,1008,709,988,960,1444,649,782,1985,1270,445,414
"Clostridium orbiscindens et rel.",255,203,121,136,157,181,219,198,191,168,230,238,314,371,172,257,236,222,319,336,224,262,153,153,105,115,444,547,172,156,205,170,178,161,77,67,154,315,221,223,263,238,312,283
"Clostridium ramosum et rel.",75,72,35,43,60,48,9,9,113,80,33,36,75,124,6,8,91,93,142,124,20,29,83,67,45,54,7,5,47,44,38,51,0,8,36,81,42,87,41,50,70,53,67,33
"Clostridium sphenoides et rel.",613,687,421,336,408,496,785,614,685,655,785,571,604,664,279,245,560,467,285,212,334,272,422,556,416,485,108,108,422,392,319,368,336,516,527,590,433,447,206,270,582,608,395,432
"Clostridium stercorarium et rel.",41,75,69,106,71,61,39,45,70,61,75,67,56,23,39,19,68,88,110,145,77,55,22,55,49,45,23,29,35,40,62,38,11,18,30,53,34,29,83,89,104,89,58,53
"Clostridium symbiosum et rel.",323,458,405,467,437,356,503,427,532,694,612,732,716,577,341,275,499,558,925,652,308,252,350,520,350,409,198,236,459,296,484,430,363,580,539,598,395,395,281,269,519,571,386,467
"Clostridium thermocellum et rel.",0,2,8,2,0,0,0,4,0,10,0,9,0,0,0,0,10,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,2
"Collinsella",89,157,217,185,15,24,69,138,48,50,103,121,49,47,58,105,28,27,33,34,55,103,73,116,151,182,211,177,59,64,143,166,197,241,29,31,147,203,119,117,52,38,95,86
"Coprobacillus catenaformis et rel.",99,118,46,52,103,90,0,8,132,181,39,37,3,7,9,10,78,87,99,85,40,51,135,124,63,73,8,9,53,48,40,57,0,21,42,101,84,192,32,39,61,44,79,45
"Coprococcus eutactus et rel.",498,750,1013,1123,1109,1323,795,666,1135,913,1094,806,1203,1197,504,586,731,803,485,566,1019,860,885,888,665,819,274,359,718,834,1005,850,1284,1788,944,1148,1026,1975,739,722,1699,1801,989,1394
"Corynebacterium",0,1,7,0,0,7,0,5,3,17,0,9,0,3,0,0,0,11,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11
"Desulfovibrio et rel.",0,12,27,16,0,10,0,36,6,39,1,29,11,12,0,0,38,48,12,16,0,23,4,18,0,0,0,0,1,2,2,0,5,14,3,6,0,0,1,0,6,0,12,12
"Dialister",17,48,99,131,0,6,3,0,60,134,11,16,113,82,0,0,334,225,0,0,32,73,0,0,0,0,0,0,5,0,2,116,12,14,0,0,394,82,255,211,286,275,0,0
"Dorea formicigenerans et rel.",416,594,377,472,447,498,628,549,842,585,747,549,856,916,291,328,587,577,1191,1152,381,319,412,463,544,656,347,317,307,392,542,546,490,567,532,777,620,850,463,477,955,957,380,434
"Eggerthella lenta et rel.",12,22,24,20,34,50,35,46,64,68,15,45,46,44,27,44,40,31,40,34,2,16,24,40,23,21,47,65,1,4,12,18,29,42,4,14,22,18,75,82,50,34,25,26
"Enterobacter aerogenes et rel.",9,11,23,13,8,8,4,14,16,20,3,22,5,14,3,2,40,25,11,9,10,22,9,11,9,6,19,84,3,3,17,7,4,1,16,62,6,5,2,5,15,16,3,5
"Enterococcus",4,11,14,8,45,6,5,20,40,20,7,25,35,47,0,0,12,16,21,21,0,13,7,8,5,6,1,2,0,0,0,0,0,0,16,46,3,12,7,8,13,7,10,10
"Escherichia coli et rel.",0,0,1,0,0,4,1,6,14,3,0,16,3,0,1,62,2,4,8,1,0,0,4,1,0,0,307,7,0,0,0,7,0,0,3,11,0,5,0,1,9,0,0,0
"Eubacterium biforme et rel.",61,72,53,64,27,27,83,71,19,26,23,8,43,72,437,544,11,9,12,10,49,81,47,50,356,348,163,243,38,46,51,57,203,280,34,37,54,74,44,26,57,47,18,20
"Eubacterium cylindroides et rel.",0,0,0,1,1,4,0,0,71,49,5,24,220,191,0,0,16,11,48,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,47,12,1,0
"Eubacterium hallii et rel.",1325,1321,1284,887,1701,1906,1287,1146,2384,1204,2022,851,2892,2960,767,1190,1642,1362,1689,2180,882,1350,912,915,2244,2005,2077,2773,1460,922,1568,1464,1411,1569,1014,2116,954,1970,1831,2025,3374,2691,957,1121
"Eubacterium limosum et rel.",3,3,2,3,5,0,10,11,19,3,14,12,29,29,2,1,13,17,10,23,3,5,7,9,6,3,15,9,1,0,6,7,2,5,8,34,2,14,8,9,16,10,5,3
"Eubacterium rectale et rel.",515,500,375,423,444,321,613,452,397,426,577,233,536,427,401,327,235,447,255,219,498,204,394,525,840,879,267,247,563,572,612,583,873,817,469,519,540,479,360,331,406,533,430,563
"Eubacterium siraeum et rel.",32,28,33,50,53,52,39,46,42,31,97,63,39,38,62,57,37,50,53,142,55,38,109,47,41,31,96,109,149,172,105,62,18,55,1,6,55,39,74,82,21,41,41,20
"Eubacterium ventriosum et rel.",515,522,130,145,380,297,645,513,983,1115,534,632,986,880,370,209,241,404,147,162,337,369,290,381,1162,1062,419,522,356,236,582,538,396,384,577,852,456,578,280,322,389,778,910,817
"Faecalibacterium prausnitzii et rel.",3319,3522,3115,2241,3311,1557,2196,1270,377,742,2181,1595,488,258,4287,3388,236,357,1156,926,2257,1082,1156,2485,3427,4446,478,321,3420,2425,1254,1385,3624,4911,1877,1826,2502,1184,647,511,828,1837,1731,1400
"Fusobacteria",0,4,5,2,0,0,0,1,2,6,0,7,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella",6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,1,9,0,0,0,0,2,0,0,0,1,0,0,4,0,0,0,12,4,6,0,0,0,0,0,0
"Granulicatella",24,3,8,0,60,0,35,31,21,0,12,5,33,48,4,9,3,10,39,36,0,0,4,2,22,14,0,0,0,4,3,11,0,18,15,64,12,58,9,6,6,9,0,8
"Haemophilus",0,0,0,0,8,17,3,0,0,0,0,7,4,1,0,22,4,5,0,0,0,0,9,0,0,0,166,48,6,0,6,0,0,0,28,149,0,11,0,5,5,7,0,4
"Helicobacter",0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebisiella pneumoniae et rel.",7,8,16,12,4,13,5,9,13,12,5,13,6,5,8,27,27,19,17,14,4,8,10,8,5,2,198,38,1,0,0,4,1,3,14,30,3,14,1,4,12,6,1,2
"Lachnobacillus bovis et rel.",690,764,313,349,675,326,462,296,247,233,290,121,241,305,422,480,163,247,151,178,606,159,313,393,327,288,281,212,293,306,385,308,632,495,301,380,315,324,366,333,407,445,415,454
"Lachnospira pectinoschiza et rel.",262,244,288,430,229,285,587,482,161,161,293,143,538,450,387,362,144,215,270,169,417,359,284,344,405,420,215,243,307,336,505,399,302,531,530,616,417,546,362,332,390,315,322,410
"Lactobacillus catenaformis et rel.",0,0,8,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Lactobacillus gasseri et rel.",8,120,3,2,2,5,11,9,14,2,6,8,0,4,1,0,56,4,22,1,0,1,22,1,18,3,0,1,0,0,0,0,0,17,0,10,7,1,22,14,2,3,0,2
"Lactobacillus plantarum et rel.",0,6,7,8,1,23,2,2,11,14,3,29,0,2,0,10,5,8,6,12,0,22,3,6,2,19,0,2,0,0,0,0,0,0,0,4,2,16,0,0,1,36,0,1
"Lactobacillus salivarius et rel.",1,0,1,0,12,0,4,3,16,1,3,1,4,6,0,0,2,1,3,6,0,0,0,0,0,0,29,40,0,0,0,0,0,0,0,10,0,3,0,0,2,0,1,1
"Lactococcus",4,8,16,0,2,27,3,12,252,5,38,31,712,116,0,1,7,7,133,79,167,193,256,123,23,0,52,0,26,25,3,16,9,35,0,1,41,70,12,2,172,0,11,0
"Leminorella",0,1,3,0,0,0,5,2,2,35,0,4,0,6,0,0,1,7,3,0,1,6,3,6,1,2,0,16,0,0,6,0,0,0,18,33,0,0,0,0,0,0,0,3
"Megamonas hypermegale et rel.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,58,0,0,0,0
"Megasphaera elsdenii et rel.",0,0,0,2,0,0,0,0,96,104,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,50,2,0,0,0,0,0,0,0,0,1
"Methylobacterium",0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,19,3,3,6,0,0,0,10,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,7,2
"Micrococcaceae",0,3,13,1,0,0,0,20,1,18,0,5,11,7,0,0,9,10,0,5,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0
"Mitsuokella multiacida et rel.",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,117,2327,0,0,0,0,0,0,0,0,1,0
"Moraxellaceae",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Novosphingobium",2,39,36,7,0,13,9,51,17,60,5,5,22,28,9,12,22,21,46,37,2,16,19,25,7,10,13,21,9,21,1,1,8,4,16,24,4,8,0,0,14,20,17,8
"Oceanospirillum",0,0,6,0,0,5,0,7,0,9,3,5,3,0,0,0,14,27,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Oscillospira guillermondii et rel.",264,104,147,142,180,176,630,747,186,215,300,299,195,199,388,646,174,352,160,193,362,496,212,132,106,184,956,929,163,164,521,260,605,292,127,30,162,397,540,472,296,450,608,654
"Outgrouping clostridium cluster XIVa",158,173,182,190,250,260,296,259,321,331,221,153,935,973,161,174,182,192,244,188,202,145,480,583,296,279,151,119,239,187,458,481,473,506,400,619,343,490,194,232,550,561,172,193
"Oxalobacter formigenes et rel.",171,208,268,227,80,88,380,331,165,204,301,408,96,116,47,87,91,111,173,203,325,469,144,128,110,79,506,548,79,119,148,102,67,40,76,156,74,83,242,308,116,83,263,134
"Papillibacter cinnamivorans et rel.",702,705,579,807,420,469,816,478,470,606,351,126,541,349,450,363,328,368,433,694,601,254,573,1108,649,754,182,197,442,387,259,277,379,1011,517,624,455,200,498,325,384,559,757,637
"Parabacteroides distasonis et rel.",371,208,148,181,191,93,37,88,89,127,58,95,381,534,174,130,159,150,156,289,103,165,245,233,250,234,305,313,248,341,78,106,169,54,372,73,353,67,143,108,52,75,186,157
"Peptococcus niger et rel.",15,18,16,18,13,12,42,48,25,9,65,34,17,18,65,95,48,16,7,12,30,38,13,29,14,16,67,114,7,3,27,27,23,27,10,21,19,52,42,50,66,55,12,6
"Peptostreptococcus anaerobius et rel.",0,3,5,7,0,0,6,24,3,4,0,5,1,3,0,0,15,3,4,8,0,0,18,24,1,0,7,0,0,0,1,2,0,0,0,5,6,9,0,0,5,0,0,2
"Peptostreptococcus micros et rel.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Phascolarctobacterium faecium et rel.",0,0,0,0,0,0,16,15,55,36,5,16,0,0,10,5,8,5,7,1,3,3,11,9,8,8,15,11,8,9,0,8,13,40,19,6,15,1,0,0,0,0,19,27
"Prevotella melaninogenica et rel.",14,0,2,3,12,2,13,21,18,10,3,9,0,21,2659,1008,6,16,3,3,28,6,18,12,282,935,141,0,71,81,7,5,1075,3324,112,2,7,0,31,0,34,27,2,0
"Prevotella oralis et rel.",51,14,22,22,28,7,23,53,52,37,23,31,5,21,397,214,31,37,21,29,19,18,50,41,64,113,41,24,164,206,26,20,101,132,57,10,44,6,22,12,65,65,8,12
"Prevotella ruminicola et rel.",72,31,50,45,46,21,20,52,59,83,41,47,36,62,215,161,71,77,43,54,33,38,74,58,37,39,53,46,101,132,38,43,68,80,80,27,84,17,30,20,31,38,26,16
"Prevotella tannerae et rel.",349,155,96,86,213,105,131,296,127,130,104,116,105,189,136,130,198,202,106,180,64,82,446,513,96,116,302,383,158,242,139,175,91,52,314,70,324,74,135,118,52,76,43,63
"Propionibacterium",6,10,20,12,2,6,5,27,27,44,7,69,6,8,0,0,20,29,8,37,0,10,14,12,1,4,0,1,0,2,5,6,0,0,7,7,8,0,0,0,0,0,4,6
"Proteus et rel.",0,3,2,1,0,0,0,0,0,4,0,4,0,5,0,0,3,2,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,10,0,0,0,0,1,2,0,0
"Pseudomonas",1,1,2,7,11,29,10,1,0,0,0,26,9,0,3,40,3,4,0,2,0,0,12,0,0,0,327,55,7,1,0,4,0,4,25,95,0,23,0,6,6,4,0,7
"Roseburia intestinalis et rel.",508,506,1238,1550,931,524,603,568,868,1701,831,320,605,476,989,713,304,518,270,349,1785,536,1003,1463,885,1199,452,328,1905,785,689,648,923,2515,471,574,741,1153,1083,990,1475,2266,690,824
"Ruminococcus bromii et rel.",197,717,922,1982,354,448,1894,1838,219,132,1698,2227,325,210,1685,1977,350,508,33,50,3148,2521,38,22,139,113,2841,1525,391,394,218,384,240,550,21,49,870,1302,1035,1068,273,273,290,202
"Ruminococcus callidus et rel.",50,187,278,311,99,115,325,275,50,41,403,376,63,42,264,260,146,161,39,49,232,313,122,68,49,48,92,79,85,105,165,180,85,92,96,62,180,202,229,152,201,126,72,85
"Ruminococcus gnavus et rel.",297,453,313,350,215,254,294,323,240,195,431,376,771,679,169,200,262,293,242,203,326,329,272,349,333,491,390,249,173,175,456,549,253,374,344,540,412,537,289,316,913,576,140,138
"Ruminococcus lactaris et rel.",1112,887,477,670,897,1235,1064,1046,827,1039,275,160,503,649,388,541,486,460,663,453,321,259,305,302,833,582,472,336,519,1273,325,382,503,862,1093,2022,280,386,313,375,1241,554,1134,850
"Ruminococcus obeum et rel.",886,1544,1342,1631,1793,2434,1645,1497,2516,1732,2026,1971,3194,3570,877,956,1969,2278,2508,2941,1383,1364,1483,1418,1507,1816,250,342,1333,1242,2291,2011,1365,1825,1967,3386,1506,3122,1433,1440,3984,3119,1383,1882
"Serratia",2,0,0,1,15,28,10,0,0,0,0,16,6,7,2,43,8,8,0,0,5,4,16,0,0,0,396,105,9,1,15,6,0,5,35,214,0,22,1,12,11,17,0,4
"Sporobacter termitidis et rel.",124,119,136,127,97,82,286,263,61,51,151,176,82,116,171,247,72,71,57,100,350,455,121,88,71,85,480,490,84,73,159,105,274,133,54,64,58,174,374,333,140,140,320,259
"Staphylococcus",0,16,18,17,0,8,7,36,9,41,1,16,22,15,0,0,15,12,19,23,0,17,7,16,2,0,0,0,0,0,2,0,0,0,4,14,2,11,0,0,12,5,9,8
"Streptococcus bovis et rel.",750,569,187,303,421,416,378,362,627,486,246,197,774,552,127,137,572,259,962,503,240,215,636,257,926,256,241,270,434,422,195,437,168,401,334,841,224,320,563,551,339,299,514,312
"Streptococcus intermedius et rel.",154,127,94,173,110,128,148,157,193,139,70,77,185,222,38,41,146,96,269,207,58,53,156,96,149,70,75,70,121,109,57,100,55,110,123,346,73,107,118,111,128,80,124,70
"Streptococcus mitis et rel.",554,372,226,461,385,418,393,413,744,453,190,199,676,623,100,103,432,263,947,590,162,140,446,224,483,180,219,206,450,358,178,343,154,340,328,1124,171,287,371,352,300,199,374,210
"Subdoligranulum variable at rel.",312,424,1144,740,1104,977,601,703,2005,758,212,614,818,1020,740,925,1263,616,117,105,773,897,552,762,874,616,1801,1533,510,478,900,628,362,453,164,244,281,533,1774,2014,492,547,515,956
"Sutterella wadsworthia et rel.",89,52,103,59,53,47,21,18,28,64,100,96,34,32,25,12,46,50,57,47,13,31,10,17,5,7,33,9,58,69,25,30,6,29,89,62,23,9,43,45,8,5,61,66
"Tannerella et rel.",142,69,51,51,123,83,32,60,41,57,55,62,52,75,52,48,123,107,59,78,42,61,73,61,46,47,63,83,94,143,78,89,85,14,160,47,153,33,132,116,19,20,67,95
"Uncultured Bacteroidetes",65,37,55,32,53,78,146,93,32,46,17,35,55,60,20,24,235,149,29,82,13,28,98,62,22,22,120,144,724,567,25,57,182,9,3252,412,58,13,40,62,17,17,78,78
"Uncultured Chroococcales",0,35,8,0,30,92,0,0,0,0,37,96,0,0,0,0,4,4,8,0,0,0,0,0,62,18,0,0,0,0,43,8,0,0,0,0,0,0,0,3,0,0,213,0
"Uncultured Clostridiales I",49,28,49,44,135,203,0,3,0,7,0,12,1,7,224,82,3,6,21,10,44,67,45,48,204,92,214,310,169,221,57,41,385,18,23,16,3,0,112,279,0,0,109,127
"Uncultured Clostridiales II",7,15,27,29,34,23,16,22,19,15,17,29,8,5,58,59,20,17,19,24,67,83,36,26,4,3,75,70,24,25,58,52,86,27,2,5,3,12,88,106,14,15,28,34
"Uncultured Mollicutes",0,2,5,5,77,88,0,5,0,1,3,6,7,4,87,99,4,9,10,7,0,3,88,13,45,1,53,81,35,40,41,20,143,6,2,3,0,0,34,43,18,12,22,16
"Uncultured Selenomonadaceae",0,0,15,0,0,0,0,0,156,37,0,5,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,38,24,49,49,0,8
"Veillonella",36,12,61,122,43,56,12,24,0,30,0,0,42,16,0,0,7,14,58,3,129,23,28,56,1,1,0,0,143,123,0,10,20,19,169,92,28,7,1,6,0,0,5,13
"Weissella et rel.",1,5,7,4,8,16,7,8,51,22,26,8,48,44,0,2,44,13,58,17,4,12,17,16,16,2,0,3,0,57,0,12,0,9,14,28,29,24,0,0,2,0,14,0
"Vibrio",4,7,8,7,8,15,4,12,11,9,2,14,9,16,0,4,15,17,13,12,7,13,17,13,3,2,36,33,4,0,17,9,4,0,13,53,5,6,0,1,8,10,4,3
"Wissella et rel.",13,29,7,2,13,2,16,9,39,3,58,6,0,2,0,0,24,5,28,0,18,4,0,22,22,19,0,0,0,8,0,5,1,5,10,6,51,9,0,0,0,12,1,0
"Xanthomonadaceae",65,39,29,21,8,5,17,10,19,22,0,17,4,0,2,1,29,11,16,14,0,17,3,12,8,3,15,6,0,1,0,8,5,17,15,19,16,16,0,0,15,12,7,9
"Yersinia et rel.",0,7,10,7,0,1,0,4,1,8,0,9,0,0,0,2,13,10,4,3,0,2,0,5,0,0,27,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,1
